EXPORTED CROSS SECTION DATA
504 2 2
x coordinate
Electron Conc
4.4750000000e-02 3.9143133627e+06 
4.4760000000e-02 3.9144337009e+06 
4.4850000000e-02 3.9152019389e+06 
4.4860000000e-02 3.9153221222e+06 
4.4950000000e-02 3.9160894973e+06 
4.4960000000e-02 3.9162095267e+06 
4.5050000000e-02 3.9169760481e+06 
4.5060000000e-02 3.9170959235e+06 
4.5150000000e-02 3.9178615732e+06 
4.5160000000e-02 3.9179812937e+06 
4.5250000000e-02 3.9187460895e+06 
4.5260000000e-02 3.9188656541e+06 
4.5350000000e-02 3.9196295781e+06 
4.5360000000e-02 3.9197489877e+06 
4.5450000000e-02 3.9205120400e+06 
4.5460000000e-02 3.9206312927e+06 
4.5550000000e-02 3.9213934822e+06 
4.5560000000e-02 3.9215125789e+06 
4.5650000000e-02 3.9222738786e+06 
4.5660000000e-02 3.9223928184e+06 
4.5750000000e-02 3.9231532463e+06 
4.5760000000e-02 3.9232720301e+06 
4.5850000000e-02 3.9240315773e+06 
4.5860000000e-02 3.9241502022e+06 
4.5950000000e-02 3.9249088686e+06 
4.5960000000e-02 3.9250273365e+06 
4.6050000000e-02 3.9257851132e+06 
4.6060000000e-02 3.9259034220e+06 
4.6150000000e-02 3.9266603090e+06 
4.6160000000e-02 3.9267784599e+06 
4.6250000000e-02 3.9275344571e+06 
4.6260000000e-02 3.9276524490e+06 
4.6350000000e-02 3.9284075565e+06 
4.6360000000e-02 3.9285253894e+06 
4.6450000000e-02 3.9292795891e+06 
4.6460000000e-02 3.9293972620e+06 
4.6550000000e-02 3.9301505720e+06 
4.6560000000e-02 3.9302680849e+06 
4.6650000000e-02 3.9310204872e+06 
4.6660000000e-02 3.9311378391e+06 
4.6750000000e-02 3.9318893427e+06 
4.6760000000e-02 3.9320065346e+06 
4.6850000000e-02 3.9327571214e+06 
4.6860000000e-02 3.9328741523e+06 
4.6950000000e-02 3.9336238314e+06 
4.6960000000e-02 3.9337407003e+06 
4.7050000000e-02 3.9344894716e+06 
4.7060000000e-02 3.9346061795e+06 
4.7150000000e-02 3.9353540342e+06 
4.7160000000e-02 3.9354705800e+06 
4.7250000000e-02 3.9362175090e+06 
4.7260000000e-02 3.9363338918e+06 
4.7350000000e-02 3.9370799041e+06 
4.7360000000e-02 3.9371961248e+06 
4.7450000000e-02 3.9379412204e+06 
4.7460000000e-02 3.9380572771e+06 
4.7550000000e-02 3.9388014380e+06 
4.7560000000e-02 3.9389173316e+06 
4.7650000000e-02 3.9396605668e+06 
4.7660000000e-02 3.9397762965e+06 
4.7750000000e-02 3.9405185970e+06 
4.7760000000e-02 3.9406341625e+06 
4.7850000000e-02 3.9413755373e+06 
4.7860000000e-02 3.9414909378e+06 
4.7950000000e-02 3.9422313690e+06 
4.7960000000e-02 3.9423466054e+06 
4.8050000000e-02 3.9430860929e+06 
4.8060000000e-02 3.9432011643e+06 
4.8150000000e-02 3.9439397171e+06 
4.8160000000e-02 3.9440546224e+06 
4.8250000000e-02 3.9447922315e+06 
