EXPORTED CROSS SECTION DATA
513 4 4
x coordinate
Electron QFL
Valence Band Energy
Conduction Band Energy
3.7310000000e-02 -2.6521675186e-18 -1.4396568758e+00 -1.7174729708e-02 
3.7320000000e-02 -3.0881402606e-18 -1.4396057437e+00 -1.7123597905e-02 
3.7410000000e-02 2.2161947766e-18 -1.4389838668e+00 -1.6501724673e-02 
3.7420000000e-02 2.4341811472e-18 -1.4389332952e+00 -1.6451152899e-02 
3.7510000000e-02 -2.8701538900e-18 -1.4383182286e+00 -1.5836086778e-02 
3.7520000000e-02 -2.4341811472e-18 -1.4382682068e+00 -1.5786064953e-02 
3.7610000000e-02 1.0826656390e-17 -1.4376598304e+00 -1.5177683415e-02 
3.7620000000e-02 9.9547109056e-18 -1.4376103486e+00 -1.5128201704e-02 
3.7710000000e-02 9.9547109056e-18 -1.4370085237e+00 -1.4526385084e-02 
3.7720000000e-02 9.7367245380e-18 -1.4369595728e+00 -1.4477433863e-02 
3.7810000000e-02 1.7693227122e-17 -1.4363642070e+00 -1.3882065453e-02 
3.7820000000e-02 1.7693227122e-17 -1.4363157763e+00 -1.3833635352e-02 
3.7910000000e-02 4.4323895470e-18 -1.4357267403e+00 -1.3244601124e-02 
3.7920000000e-02 4.2144031748e-18 -1.4356788223e+00 -1.3196682959e-02 
3.8010000000e-02 9.5187381658e-18 -1.4350960143e+00 -1.2613871473e-02 
3.8020000000e-02 9.3007517937e-18 -1.4350485991e+00 -1.2566456306e-02 
3.8110000000e-02 2.6703330480e-18 -1.4344718991e+00 -1.1989758801e-02 
3.8120000000e-02 2.4523466758e-18 -1.4344249784e+00 -1.1942837882e-02 
3.8210000000e-02 7.7566817038e-18 -1.4338542939e+00 -1.1372148092e-02 
3.8220000000e-02 7.1027225873e-18 -1.4338078585e+00 -1.1325712877e-02 
3.8310000000e-02 1.1080973833e-17 -1.4332430695e+00 -1.0760926939e-02 
3.8320000000e-02 1.1734932949e-17 -1.4331971118e+00 -1.0714969073e-02 
3.8410000000e-02 6.4305979491e-18 -1.4326381258e+00 -1.0155985434e-02 
3.8420000000e-02 7.3025434332e-18 -1.4325926367e+00 -1.0110496772e-02 
3.8510000000e-02 3.3242921599e-18 -1.4320393614e+00 -9.5572165582e-03 
3.8520000000e-02 2.9973126024e-18 -1.4319943341e+00 -9.5121891215e-03 
3.8610000000e-02 4.3233963571e-18 -1.4314466585e+00 -8.9645152891e-03 
3.8620000000e-02 3.7784304305e-18 -1.4314020846e+00 -8.9199412899e-03 
3.8710000000e-02 2.4523466758e-18 -1.4308599256e+00 -8.3777792439e-03 
3.8720000000e-02 3.1063057923e-18 -1.4308157975e+00 -8.3336510682e-03 
3.8810000000e-02 5.7584733016e-18 -1.4302790534e+00 -7.7969082651e-03 
3.8820000000e-02 5.2135073675e-18 -1.4302353635e+00 -7.7532184714e-03 
3.8910000000e-02 6.5395911314e-18 -1.4297039513e+00 -7.2218044742e-03 
3.8920000000e-02 5.9946252048e-18 -1.4296606928e+00 -7.1785457858e-03 
3.9010000000e-02 5.9946252048e-18 -1.4291345106e+00 -6.6523721906e-03 
3.9020000000e-02 6.4850945441e-18 -1.4290916759e+00 -6.6095374949e-03 
3.9110000000e-02 3.1698851481e-18 -1.4285706592e+00 -6.0885178568e-03 
3.9120000000e-02 2.8974021810e-18 -1.4285282415e+00 -6.0461001991e-03 
3.9210000000e-02 -4.1780721494e-19 -1.4280122886e+00 -5.5301500044e-03 
3.9220000000e-02 5.0863486101e-19 -1.4279702810e+00 -5.4881425842e-03 
3.9310000000e-02 1.3769472463e-17 -1.4274593180e+00 -4.9771791858e-03 
3.9320000000e-02 1.3823969058e-17 -1.4274177144e+00 -4.9355753514e-03 
3.9410000000e-02 7.1935502478e-18 -1.4269116581e+00 -4.4295179319e-03 
3.9420000000e-02 7.4115366192e-18 -1.4268704510e+00 -4.3883111797e-03 
3.9510000000e-02 1.8020206675e-17 -1.4263692275e+00 -3.8870806958e-03 
3.9520000000e-02 1.7693227122e-17 -1.4263284115e+00 -3.8462646629e-03 
3.9610000000e-02 1.3714975876e-17 -1.4258319284e+00 -3.3497837900e-03 
3.9620000000e-02 1.4123700318e-17 -1.4257914967e+00 -3.3093522515e-03 
3.9710000000e-02 3.0368226299e-17 -1.4252996892e+00 -2.8175453653e-03 
3.9720000000e-02 2.9905005262e-17 -1.4252596366e+00 -2.7774922339e-03 
3.9810000000e-02 2.0953939959e-17 -1.4247724309e+00 -2.2902853272e-03 
3.9820000000e-02 2.0926691658e-17 -1.4247327504e+00 -2.2506046447e-03 
3.9910000000e-02 2.7888631338e-17 -1.4242500725e+00 -1.7679253273e-03 
3.9920000000e-02 2.7180175634e-17 -1.4242107581e+00 -1.7286112638e-03 
4.0010000000e-02 1.7897589333e-17 -1.4237325342e+00 -1.2503886889e-03 
4.0020000000e-02 1.8190508520e-17 -1.4236935813e+00 -1.2114355398e-03 
4.0110000000e-02 1.8024748067e-17 -1.4232197466e+00 -7.3760039148e-04 
4.0120000000e-02 1.9373538738e-17 -1.4231811484e+00 -6.9900257467e-04 
4.0210000000e-02 2.6708439484e-17 -1.4227116290e+00 -2.2948700543e-04 
4.0220000000e-02 2.6095352815e-17 -1.4226733809e+00 -1.9123905606e-04 
4.0310000000e-02 2.3070224314e-17 -1.4222081214e+00 2.7402334097e-04 
4.0320000000e-02 2.3758243798e-17 -1.4221702181e+00 3.1192677194e-04 
4.0410000000e-02 2.5001447289e-17 -1.4217091446e+00 7.7300100004e-04 
4.0420000000e-02 2.4510977954e-17 -1.4216715808e+00 8.1056514854e-04 
4.0510000000e-02 2.5422660539e-17 -1.4212146285e+00 1.2675148443e-03 
4.0520000000e-02 2.5095680982e-17 -1.4211773981e+00 1.3047448382e-03 
4.0610000000e-02 1.8133741210e-17 -1.4207245116e+00 1.7576322919e-03 
4.0620000000e-02 1.7616023577e-17 -1.4206876109e+00 1.7945331494e-03 
4.0710000000e-02 1.8610586389e-17 -1.4202387256e+00 2.2434193806e-03 
4.0720000000e-02 1.9482531874e-17 -1.4202021491e+00 2.2799960186e-03 
4.0810000000e-02 1.4509717817e-17 -1.4197572003e+00 2.7249407489e-03 
4.0820000000e-02 1.3828510410e-17 -1.4197209428e+00 2.7611979795e-03 
4.0910000000e-02 1.4160031316e-17 -1.4192798842e+00 3.2022597104e-03 
4.0920000000e-02 1.4541507464e-17 -1.4192439419e+00 3.2382022501e-03 
